"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87692342796.5208","93817522685.3109","101178098203.325","108456426994.827","115081618885.562","123511999678.265","131462096909.681","139820916424.046","148714667316.249","157907297582.569","169982625545.874","182530878334.241","192525389218.375","205395097099.782","221976241488.929","243850841826.997","267992112040.627","294615766788.069","318408634408.939","337022600321.165","359946756348.42","391220073587.411","443598789939.633","480218563286.77","520423230999.264","555570050290.634","608047366029.664","664403662063.264","733857305702.581","807854884406.747","837063564144.917",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65673974854.2982","62160945613.87","58953932592.3341","59458011546.4717","61831728261.7551","64930622793.5301","57134779099.1783","47781252464.5517","51005656931.9875","47685776727.4185","52491359569.9721","55759428501.7272","61023403660.0348","65377717601.2734","70947507152.5924","78821953319.0012","86597505830.0945","96548947213.7896","107410874634.607","105648345166.892","110041092250.514","115128518949.148","118702345714.615","120520508488.7","126862335718.758","131666684071.597","142696083169.738","151335235993.4","160952718655.085","171458740185.285","168799470603.113",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13319945106.7787","15316808955.1044","16713911428.5497","19312157342.6673","19675242051.7473","20877261671.9303","22133285099.0104","23225888942.0756","24612343435.0628","26041308042.2956","28034516575.2414","29363075270.7015","30826319472.1303","33375800391.1598","36667026445.9921","40368485984.997","44279752026.7835","49240429590.8121","53333105095.2994","55104616844.5009","58162953475.7136","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74249750562.414","77078951541.6154","73476414567.8318",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5504554440.60276","5452732296.23103","5363642653.74153","5507680163.45094","5802428184.66539","6183500967.22191","6562662720.78815","7139314391.78643","6894524069.79519","7847170107.63463","8355467688.45433","8762894151.06505","9142258719.35381","9194285983.47715","9525162366.74014","10155343567.8873","10725995042.9525","11173470267.1725","11126142708.7924","10742814846.6249","11035187274.0635","11334803747.5783","11713379202.2105","11702558408.5268","12287968303.4764","12507352353.2965","12907953054.1602","13856896226.2225","14618974795.5492","15061164616.9253","12762285710.4927",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3749897188.05395","4624862707.65165","8899041515.9969","12173237643.3613","14230648494.793","15821977724.034","17065336100.3798","17843042648.0697","19310193060.8487","20216341050.2347","23342173199.8189","24398081341.1437","27879617163.0059","30804348841.6072","33896568904.3777","33755250256.3323","34666329769.3326","36525544935.8961","37145916732.9068","39027244947.2416","39811669774.4469","41189080577.1119","44265677701.9916","46096435759.0104","49582365425.8008","52311357772.2959","51219399093.5753",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53275662592.9477","54416393086.2388","50313469697.596","47591607541.2966","42920764985.4233","39263410437.4665","41101817429.5946","46606182102.5295","51089722656.2062","53589487606.9613","57965141850.7952","62035672870.9428","66196302880.9147","72174548287.9562","82603919631.1015","93183621908.2178","105603898919.094","117766622690.552","132303186469.252","133578417143.272","145673123596.385","156715098657.899","171037674358.344","179366145726.605","179597949624.117","171204463522.202","168421837005.779","173630155305.786","183398223823.045","189285570275.747","189854160050.394",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625084917.929995","720307131.077143","825558637.858516","898165553.348819","918798405.162019","944110428.273071","975136231.481016","1027756578.9837","1078200265.4076","1189787564.92142","1374753188.05639","1470679978.72121","1564642132.77564","1742448654.70633","1875068334.98982","1971002518.08006","2128637657.00758","2196988727.36753","2317884973.3694","2340634293.70049","2439029379.03782","2537807474.36965","2458226039.33397","2498498319.23997","2540731967.76194","2611555931.58154","2666078128.51442","2703187932.80396","2848602691.5175","2950508885.97461","2567025990.70651",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2069701819.7898","2064069231.39599","2109846380.32823","2224837649.35203","2285972658.46591","2436579276.91577","2545715055.60402","2710433578.98293","2847836726.73602","2986677006.57941","3337937504.76127","3657520974.81199","3660468836.62029","3855613626.28385","4051323524.73477","4247460210.71958","4618596477.95015","4901313626.55102","4903415338.1953","4662792839.53546","4599062134.44337","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5329378596.94909","5449462884.82198","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16291396871.9185","17729339165.8073","18431940368.5628","19674406144.8647","21032404512.5649","22478018891.9709","23887877486.2775","25519649885.854","27104797610.0137","27613515778.9731","28938783213.6529","30071493259.3442","31306422312.182","32752399616.3808","35037816332.7326","37726654187.3295","40732857779.2069","43736202874.2244","47328355739.3326","49290089271.3561","51922209178.21","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289209.0962","82736157903.0732","94285208501.691","100626844045.769","104693606232.991","97672053441.5666",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997865233828.29","1047207962331.16","1066071911884.71","1142254358868.21","1228881680850.47","1310064634532.74","1363501157766.58","1434999308141.79","1456056827513.26","1483991236858.97","1583737935418.29","1640971185024.87","1717826454363.21","1769689532881","1922011086206.48","2045343044816.43","2190727894812.84","2386123366668.17","2556454777931.9","2572703064097.74","2798617241536.23","2970630083312.7","2998534424980.66","3133893649534.8","3187155079572.03","3014754849735.88","2939094210373.69","3018705988834.89","3146320980859.84","3247679577278.92","3153596696922.06",
